name,description,location,locationDetails,time,latitude,longitude,link,startDate,endDate,recurring,imageName
Live Music Weekends at Geneva Lake Distilling + Winery,Weekly live music series at Geneva Lake Distilling + Winery. Enjoy tasting hours from 2-4 PM and live music performances from 5-9 PM each Friday and Saturday.,Lake Geneva,Geneva Lake Distilling + Winery Tasting Room,2:00 PM – 9:00 PM,42.6141,-88.4232,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-01-09 00:01:00,2026-02-28 16:59:00,weekly,LakeGenevaWinter
Live Music at The Abbey Resort,Enjoy live winter music performances at The Abbey Resort lakeside lounge.,Fontana,The Abbey Resort,Evenings,42.5481755,-88.5763278,https://www.theabbeyresort.com/events,2026-01-09 00:01:00,2026-01-31 16:59:00,weekly,FontanaWinter
Lake Geneva Winter Bridal Expo 2026,"Winter bridal expo showcasing local vendors, venues, and wedding services at the historic Riviera Ballroom.",Lake Geneva,The Riviera Ballroom,Times vary; see website,42.5917,-88.4334,https://www.eventbrite.com/e/lake-geneva-winter-bridal-expo-2026-tickets-1730529824289,2026-01-17 00:01:00,2026-01-17 16:59:00,,LakeGenevaWinter
Williams Bay Family Game Night,"Family-friendly winter game night with board games, refreshments, and prizes.",Williams Bay,Williams Bay Library,5:30 PM – 7:30 PM,42.5789,-88.5417,https://www.williamsbaylibrary.org/events,2026-01-22 00:01:00,2026-01-22 16:59:00,,WilliamsBayWinter
Fontana Winter Wine Dinner,Curated multi-course dinner paired with wines at a premier Fontana resort restaurant.,Fontana,240° West Restaurant,6:00 PM – 9:00 PM,42.5481755,-88.5763278,https://www.theabbeyresort.com/dining/240-west,2026-01-24 00:01:00,2026-01-24 16:59:00,,FontanaWinter
Lake Geneva Winterfest,"Annual winter festival featuring the U.S. Snow Sculpting Championship, activities, and downtown events.",Lake Geneva,Downtown Lake Geneva,All Day,42.5917,-88.4334,https://www.visitlakegeneva.com/event/winterfest-2026/16054/,2026-01-28 00:00:00,2026-02-01 00:00:00,daily,LakeGenevaWinter
New Year Art Show at Gallery 223,Winter art show at Gallery 223 featuring works from Geneva Lake Arts Foundation artists.,Lake Geneva,Gallery 223 (223 Broad St),10:00 AM – 5:00 PM,42.592,-88.4338,https://www.visitlakegeneva.com/event/new-year-art-show-at-gallery-223/16204/,2026-01-29 00:00:00,2026-02-15 00:00:00,weekly,LakeGenevaWinter
Live Music Thursdays at Next Door Pub Lakeside,Weekly live music on Thursdays at Next Door Pub Lakeside (Lake Como view).,Lake Geneva,Next Door Pub Lakeside (W4118 Lakeshore Dr),5:00 PM – 9:00 PM,42.6046,-88.5212,https://www.visitlakegeneva.com/event/live-music-thursdays/15741/,2026-01-29 00:00:00,2026-02-28 00:00:00,weekly,LakeGenevaWinter
Downtown Ice Sculpture Walk (Winterfest 2026),Annual Ice Sculpture Walk during Winterfest—ice sculptures throughout Downtown Lake Geneva.,Lake Geneva,Downtown Lake Geneva,8:00 AM – 10:00 PM,42.5917,-88.4334,https://www.visitlakegeneva.com/event/downtown-ice-sculpture-walk-presented-by-winterfest-2026/16213/,2026-01-29 00:00:00,2026-02-01 00:00:00,,LakeGenevaWinter
Igloo Experience at Grand Geneva,Reserve a heated igloo for food & drinks at Grand Geneva’s Embers Terrace.,Lake Geneva,"Embers Terrace, Grand Geneva (7036 Grand Geneva Way)",Times vary,42.6102,-88.406,https://www.visitlakegeneva.com/event/igloo-experience-at-grand-geneva/15875/,2026-01-29 00:00:00,2026-02-28 00:00:00,daily,LakeGenevaWinter
Bonfires on the Beach (Winterfest 2026),"Cozy bonfires, live entertainment, s’mores and warm drinks on Riviera Beach during Winterfest.",Lake Geneva,Riviera Beach (812 Wrigley Dr),4:00 PM – 8:00 PM,42.5907,-88.4267,https://www.visitlakegeneva.com/event/bonfires-on-the-beach-presented-by-winterfest-2026/16214/,2026-01-30 00:00:00,2026-01-31 00:00:00,,LakeGenevaWinter
Abominable Snow Race,Winter obstacle race at Lake Geneva Ziplines & Adventures with multiple course options for families and athletes.,Lake Geneva,Lake Geneva Ziplines & Adventures,8:00 AM,42.6099355,-88.4454309,https://www.visitlakegeneva.com/event/11th-annual-abominable-snow-race/15971/,2026-01-31 00:01:00,2026-01-31 16:59:00,,LakeGenevaWinter
Movie Mondays at the Lake Geneva Public Library,Black Point film series with intro + discussion (February screening: Mud).,Lake Geneva,Lake Geneva Public Library / City Hall Police Training Room (626 Geneva St in Feb),2:00 PM,42.591,-88.4441,https://www.visitlakegeneva.com/event/movie-mondays-at-the-lake-geneva-public-library/15892/,2026-02-02 00:00:00,2026-02-02 00:00:00,,LakeGenevaWinter
Winter Carnival,"Winter Carnival celebration at The Mountain Top at Grand Geneva Resort & Spa featuring skiing and snowboarding, balloon artists, yard games, human bowling, DJ music, candy scrambles, slopestyle & big air competitions, toboggan and kayak races, tug-of-war, followed by a torch light parade and fireworks show.",Lake Geneva,The Mountain Top at Grand Geneva Resort & Spa,10:00 AM – 5:30 PM,42.610238,-88.406031,https://www.grandgeneva.com/events/winter-carnival,2026-02-07 00:01:00,2026-02-07 16:59:00,,LakeGenevaWinter
Williams Bay Ice Fishing Derby,"Community ice fishing derby on Geneva Lake with prizes, hot food, and winter fun for all ages.",Williams Bay,Geneva Lake,6:00 AM – 2:00 PM,42.5789,-88.5417,https://www.visitlakegeneva.com/events/,2026-02-07 00:01:00,2026-02-07 16:59:00,,WilliamsBayWinter
Celebrate the Love: LGSO 2026 Gala,"Elegant Valentine's Gala hosted by the Lake Geneva Symphony Orchestra at The Abbey Resort. Enjoy cocktails, silent auction, an elegant dinner, live symphony concert and swing dance band.",Fontana,The Abbey Resort,5:00 PM – 10:30 PM,42.5481755,-88.5763278,https://www.visitlakegeneva.com/event/celebrate-the-love:-lgso-2026-gala/16194/,2026-02-14 00:01:00,2026-02-14 16:59:00,,FontanaWinter
Sip 'n Purr Fundraiser,"Sip “n” Purr fundraiser benefitting Lakeland Animal Shelter at Hawk's View Golf Club. Enjoy wine and beer tasting, gourmet food, silent auction and raffles while supporting homeless animals.",Lake Geneva,Hawk's View Golf Club,5:00 PM – 8:00 PM,42.611,-88.453,https://www.visitlakegeneva.com/event/sip-n-purr-fundraiser-for-lakeland-animal-shelter/16192/,2026-02-14 00:01:00,2026-02-14 16:59:00,,LakeGenevaWinter
Sweetheart Shootout,"Couples pool tournament at Lake Geneva Billiard Club. Compete with your sweetheart in a fun, friendly Valentine’s Day billiards competition.",Lake Geneva,Lake Geneva Billiard Club,6:00 PM – 10:00 PM,42.589,-88.434,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-02-14 00:01:00,2026-02-14 16:59:00,,LakeGenevaWinter
Geneva Lakes YMCA 40th Annual Auction,"40th Annual YMCA Auction at The Forum, Grand Geneva Resort & Spa. Bring your Valentine for an elegant evening of generosity, community and celebration.",Lake Geneva,The Forum at Grand Geneva Resort & Spa,6:00 PM – 11:00 PM,42.610238,-88.406031,https://www.genevalakesymca.org/2026auction,2026-02-14 00:01:00,2026-02-14 16:59:00,,LakeGenevaWinter
Fontana Winter Bonfire Night,"Outdoor winter bonfire with hot cocoa, s’mores, and live acoustic music near the lake.",Fontana,Fontana Public Beach,6:00 PM – 8:30 PM,42.5517,-88.5526,https://www.visitlakegeneva.com/events/,2026-02-14 00:01:00,2026-02-14 16:59:00,,FontanaWinter
Celebrate My Funny Valentine Cooking Class,"Hands-on couples cooking class at Lake Geneva School of Cooking featuring a romantic four-course meal, wine tasting and an evening of love and laughter.",Lake Geneva,Lake Geneva School of Cooking,6:00 PM – 9:30 PM,42.592,-88.433,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-02-14 00:01:00,2026-02-15 16:59:00,,LakeGenevaWinter
Magpie's Valentine's Party,"Valentine's dance party at Magpie's Den & Pen featuring DJ Mantas spinning live for an epic night of beats, chill vibes and good times.",Lake Geneva,Magpie's Den & Pen,8:00 PM – 12:00 AM,42.589,-88.434,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-02-14 00:01:00,2026-02-14 16:59:00,,LakeGenevaWinter
Annual Valentine’s Zipline & Dine,"Romantic zipline and dine experience at Lake Geneva Ziplines & Adventures. Couples ride a 1,221-foot dual racing zipline then enjoy a fireside meal with curated wine pairings.",Lake Geneva,Lake Geneva Ziplines & Adventures,Times vary; see website,42.6099355,-88.4454309,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-02-14 00:01:00,2026-02-14 16:59:00,,LakeGenevaWinter
Valentine’s Magic Show at Tristan Crist,Special Valentine’s edition of the Tristan Crist Magic Theater show featuring an award-winning illusionist performing over an hour of magic and mind-blowing tricks with two showtimes to choose from.,Lake Geneva,Tristan Crist Magic Theater,Times vary; see website,42.5932,-88.4307,https://www.visitlakegeneva.com/blog/post/celebrate-valentines-day-in-lake-geneva/,2026-02-15 00:01:00,2026-02-15 16:59:00,,LakeGenevaWinter
Fat Tuesday Mardi Gras Party,"Live music, Cajun food, and Mardi Gras celebration.",Lake Geneva,The Baker House 1885,6:00 PM – 10:00 PM,42.5916,-88.4328,https://www.visitlakegeneva.com/event/fat-tuesday-mardi-gras-party/,2026-02-17 00:00:00,2026-02-17 00:00:00,,LakeGenevaWinter
Williams Bay Cocoa & Crafts Festival,"Indoor winter festival with hot chocolate tastings, kids crafts, and local artisan vendors.",Williams Bay,Williams Bay Community Center,10:00 AM – 2:00 PM,42.5789,-88.5417,https://www.williamsbaywi.gov/,2026-02-21 00:01:00,2026-02-21 16:59:00,,WilliamsBayWinter
Dueling Pianos at The Cove of Lake Geneva,Interactive dueling piano performance.,Lake Geneva,The Cove of Lake Geneva,6:00 PM – 10:00 PM,42.5936,-88.4325,https://www.visitlakegeneva.com/event/dueling-pianos-at-the-cove-of-lake-geneva/15815/,2026-03-06 00:00:00,2026-03-06 00:00:00,,LakeGeneva
Chris Stapleton Tribute w/ Tennessee Whiskey,Live tribute concert at Geneva Stage.,Lake Geneva,Geneva Stage,7:00 PM,42.5918,-88.4333,https://aftontickets.com/,2026-03-07 00:00:00,2026-03-07 00:00:00,,LakeGeneva
